time,value,correction,quality
1994-06-27T11:00:00Z,378.5,0,3
1994-06-28T11:00:00Z,378.4,0,3
1994-06-29T11:00:00Z,378.44,0,3
1994-06-30T11:00:00Z,378.54,0,3
1994-07-01T11:00:00Z,378.64,0,3
1994-07-02T11:00:00Z,378.51,0,3
1994-07-03T11:00:00Z,378.22,0,3
1994-07-04T11:00:00Z,378.49,0,3
1994-07-05T11:00:00Z,378.53,0,3
1994-07-06T11:00:00Z,378.59,0,3
1994-07-07T11:00:00Z,378.56,0,3
1994-07-08T11:00:00Z,378.53,0,3
1994-07-09T11:00:00Z,378.52,0,3
1994-07-10T11:00:00Z,378.5,0,3
1994-07-11T11:00:00Z,378.41,0,3
1994-07-12T11:00:00Z,378.41,0,3
1994-07-13T11:00:00Z,378.38,0,3
1994-07-14T11:00:00Z,378.47,0,3
1994-07-15T11:00:00Z,378.8,0,3
1994-07-16T11:00:00Z,379.18,0,3
1994-07-17T11:00:00Z,379.13,0,3
1994-07-18T11:00:00Z,378.94,0,3
1994-07-19T11:00:00Z,378.72,0,3
1994-07-20T11:00:00Z,378.53,0,3
1994-07-21T11:00:00Z,378.32,0,3
1994-07-22T11:00:00Z,378.09,0,3
1994-07-23T11:00:00Z,378.07,0,3
1994-07-24T11:00:00Z,378.14,0,3
1994-07-25T11:00:00Z,378.19,0,3
1994-07-26T11:00:00Z,378.25,0,3
1994-07-27T11:00:00Z,378.42,0,3
1994-07-28T11:00:00Z,378.82,0,3
1994-07-29T11:00:00Z,379.09,0,3
1994-07-30T11:00:00Z,379.17,0,3
1994-07-31T11:00:00Z,379.3,0,3
1994-08-01T11:00:00Z,379.43,0,3
1994-08-02T11:00:00Z,379.66,0,3
1994-08-03T11:00:00Z,380.11,0,3
1994-08-04T11:00:00Z,379.99,0,3
1994-08-05T11:00:00Z,379.63,0,3
1994-08-06T11:00:00Z,380.03,0,3
1994-08-07T11:00:00Z,380.14,0,3
1994-08-08T11:00:00Z,379.89,0,3
1994-08-09T11:00:00Z,379.66,0,3
1994-08-10T11:00:00Z,379.69,0,3
1994-08-11T11:00:00Z,379.69,0,3
1994-08-12T11:00:00Z,379.66,0,3
1994-08-13T11:00:00Z,379.69,0,3
1994-08-14T11:00:00Z,379.89,0,3
1994-08-15T11:00:00Z,379.65,0,3
1994-08-16T11:00:00Z,379.72,0,3
1994-08-17T11:00:00Z,379.72,0,3
1994-08-18T11:00:00Z,379.73,0,3
1994-08-19T11:00:00Z,379.74,0,3
1994-08-20T11:00:00Z,379.74,0,3
1994-08-21T11:00:00Z,379.67,0,3
1994-08-22T11:00:00Z,379.59,0,3
1994-08-23T11:00:00Z,379.53,0,3
1994-08-24T11:00:00Z,379.43,0,3
1994-08-25T11:00:00Z,379.32,0,3
1994-08-26T11:00:00Z,379.23,0,3
1994-08-27T11:00:00Z,379.38,0,3
1994-08-28T11:00:00Z,379.81,0,3
1994-08-29T11:00:00Z,379.89,0,3
1994-08-30T11:00:00Z,380.05,0,3
1994-08-31T11:00:00Z,380.01,0,3
1994-09-01T11:00:00Z,379.95,0,3
1994-09-02T11:00:00Z,379.88,0,3
