index,Latitude,Longitude,Time,Rain,Sea_Level_Pressure,Temperature,Time_Index
355757,30.0,78.75,1999-01-01,0.0,100810.58888000913,286.27002,0
199949,27.5,77.5,1999-01-01,0.0,101952.0,295.09998,0
96337,30.0,77.5,1999-01-01,0.0,102065.0,292.99,0
459489,25.0,78.75,1999-01-01,0.0,102065.0,294.77002,0
148143,27.5,72.5,1999-01-01,0.0,101935.0,296.55,0
70434,30.0,75.0,1999-01-01,0.0,102060.0,296.8,0
18628,30.0,70.0,1999-01-01,0.0,101897.0,296.7,0
122240,27.5,70.0,1999-01-01,0.0,101947.0,298.09998,0
303561,25.0,77.5,1999-01-01,0.0,101827.0,294.09998,0
251755,25.0,72.5,1999-01-01,0.0,101817.0,298.09998,0
407623,27.5,78.75,1999-01-01,0.0,101817.0,295.59998,0
537288,23.80920029,72.5,1999-01-01,0.0,101817.0,297.49,0
329824,30.0,69.375,1999-01-01,0.0,101817.0,294.9,0
589154,23.80920029,77.5,1999-01-01,0.0,101817.0,294.3,0
44531,30.0,72.5,1999-01-01,0.0,101967.0,297.84998,0
511355,23.80920029,70.0,1999-01-01,0.0,101967.0,298.9,0
485422,23.80920029,69.375,1999-01-01,0.0,101967.0,299.9,0
381690,27.5,69.375,1999-01-01,0.0,101967.0,297.4,0
563221,23.80920029,75.0,1999-01-01,0.0,101967.0,295.84998,0
174046,27.5,75.0,1999-01-01,0.0,101890.0,295.02002,0
277658,25.0,75.0,1999-01-01,0.0,101907.0,295.2,0
433556,25.0,69.375,1999-01-01,0.0,101907.0,300.24,0
615087,23.80920029,78.75,1999-01-01,0.0,101907.0,293.3,0
225852,25.0,70.0,1999-01-01,0.0,101742.0,299.99,0
277659,25.0,75.0,1999-01-02,0.0,101752.0,295.09998,1
70435,30.0,75.0,1999-01-02,0.0,101727.0,296.7,1
459490,25.0,78.75,1999-01-02,0.0,101727.0,294.7,1
199950,27.5,77.5,1999-01-02,0.0,101765.0,295.09998,1
589155,23.80920029,77.5,1999-01-02,0.0,101765.0,294.3,1
96338,30.0,77.5,1999-01-02,0.0,101850.0,292.9,1
511356,23.80920029,70.0,1999-01-02,0.0,101850.0,298.9,1
381691,27.5,69.375,1999-01-02,0.0,101850.0,297.32,1
615088,23.80920029,78.75,1999-01-02,0.0,101850.0,293.3,1
563222,23.80920029,75.0,1999-01-02,0.0,101850.0,295.8,1
251756,25.0,72.5,1999-01-02,0.0,101650.0,298.02002,1
148144,27.5,72.5,1999-01-02,0.0,101660.0,296.47,1
174047,27.5,75.0,1999-01-02,0.0,101652.0,294.99,1
18629,30.0,70.0,1999-01-02,0.0,101605.0,296.62,1
122241,27.5,70.0,1999-01-02,0.0,101687.0,298.05,1
355758,30.0,78.75,1999-01-02,0.0,101687.0,286.2,1
44532,30.0,72.5,1999-01-02,0.0,101600.0,297.8,1
407624,27.5,78.75,1999-01-02,0.0,101600.0,295.59998,1
433557,25.0,69.375,1999-01-02,0.0,101600.0,300.2,1
225853,25.0,70.0,1999-01-02,0.0,101557.0,299.99,1
303562,25.0,77.5,1999-01-02,0.0,101715.0,293.99,1
537289,23.80920029,72.5,1999-01-02,0.0,101715.0,297.47,1
485423,23.80920029,69.375,1999-01-02,0.0,101715.0,299.9,1
329825,30.0,69.375,1999-01-02,0.0,101715.0,294.8,1
251757,25.0,72.5,1999-01-03,0.0,101420.0,297.99,2
511357,23.80920029,70.0,1999-01-03,0.0,101420.0,298.84998,2
381692,27.5,69.375,1999-01-03,0.0,101420.0,297.3,2
563223,23.80920029,75.0,1999-01-03,0.0,101420.0,295.8,2
